temp_bkrm_space_dept_clas.bkrm_loc_item_oh_d,temp_bkrm_space_dept_clas.co_loc_ref_i,temp_bkrm_space_dept_clas.dept,temp_bkrm_space_dept_clas.class,temp_bkrm_space_dept_clas.cubic_vol
3/17/18,1375,204,6,140545.1888
3/18/18,1375,204,6,132807.0988
3/19/18,1375,204,6,133934.6448
3/20/18,1375,204,6,133260.4998
3/21/18,1375,204,6,135888.1398
3/22/18,1375,204,6,133540.2008
3/23/18,1375,204,6,127142.8933
3/24/18,1375,204,6,109104.1747
3/25/18,1375,204,6,99633.73372
3/26/18,1375,204,6,103848.6087
3/27/18,1375,204,6,94303.19662
3/28/18,1375,204,6,90815.91031
3/29/18,1375,204,6,91121.58008
3/30/18,1375,204,6,84921.79678
3/31/18,1375,204,6,83643.82178
4/1/18,1375,204,6,85479.67778
4/2/18,1375,204,6,85479.67778
4/3/18,1375,204,6,76984.23878
4/4/18,1375,204,6,75420.86378
4/5/18,1375,204,6,75780.98878
4/6/18,1375,204,6,80710.41356
4/7/18,1375,204,6,80153.53856
4/8/18,1375,204,6,76771.03856
4/9/18,1375,204,6,76771.03856
4/10/18,1375,204,6,76384.28856
4/11/18,1375,204,6,75844.28856
4/12/18,1375,204,6,75844.28856
4/13/18,1375,204,6,74555.01256
4/14/18,1375,204,6,71248.51256
4/15/18,1375,204,6,71248.51256
4/16/18,1375,204,6,71248.51256
4/17/18,1375,204,6,73079.45006
4/18/18,1375,204,6,88489.77377
4/19/18,1375,204,6,95254.77377
4/20/18,1375,204,6,95087.93177
4/21/18,1375,204,6,89369.71327
4/22/18,1375,204,6,89369.71327
4/23/18,1375,204,6,88921.71327
4/24/18,1375,204,6,89475.97727
4/25/18,1375,204,6,78747.16331
4/26/18,1375,204,6,82997.73671
4/27/18,1375,204,6,73826.53931
4/28/18,1375,204,6,73340.53931
4/29/18,1375,204,6,73340.53931
4/30/18,1375,204,6,73162.66931
5/1/18,1375,204,6,73829.02007
5/2/18,1375,204,6,74530.69507
5/3/18,1375,204,6,71148.19507
5/4/18,1375,204,6,71148.19507
5/5/18,1375,204,6,69780.16931
5/6/18,1375,204,6,70307.92007
5/7/18,1375,204,6,76633.48407
5/8/18,1375,204,6,76633.48407
5/9/18,1375,204,6,72399.88407
5/10/18,1375,204,6,71565.13407
5/11/18,1375,204,6,66260.78331
5/12/18,1375,204,6,67858.15731
5/13/18,1375,204,6,72115.40731
5/14/18,1375,204,6,70893.90731
5/15/18,1375,204,6,67511.40731
5/16/18,1375,204,6,61185.84331
5/17/18,1375,204,6,61185.84331
5/18/18,1375,204,6,61185.84331
5/19/18,1375,204,6,85537.59831
5/20/18,1375,204,6,86901.84831
5/21/18,1375,204,6,86759.72331
5/22/18,1375,204,6,86447.34831
5/23/18,1375,204,6,85943.34831
5/24/18,1375,204,6,86256.14831
5/25/18,1375,204,6,86256.14831
5/26/18,1375,204,6,84838.52431
5/27/18,1375,204,6,84840.52431
5/28/18,1375,204,6,87180.20231
5/29/18,1375,204,6,89217.85535
5/30/18,1375,204,6,89217.85535
5/31/18,1375,204,6,85166.26231
6/1/18,1375,204,6,86975.23735
6/2/18,1375,204,6,90765.66883
6/3/18,1375,204,6,91390.11883
6/4/18,1375,204,6,91390.11883
6/5/18,1375,204,6,91390.11883
6/6/18,1375,204,6,91917.57808
6/7/18,1375,204,6,90390.37808
6/8/18,1375,204,6,90484.74683
6/9/18,1375,204,6,93696.99683
6/10/18,1375,204,6,96395.86307
6/11/18,1375,204,6,100436.5511
6/12/18,1375,204,6,100789.8311
6/13/18,1375,204,6,106788.6601
6/14/18,1375,204,6,102866.1601
6/15/18,1375,204,6,102866.1601
6/16/18,1375,204,6,102866.1601
6/17/18,1375,204,6,102866.1601
6/18/18,1375,204,6,104787.6601
6/19/18,1375,204,6,104787.6601
6/20/18,1375,204,6,104786.6601
6/21/18,1375,204,6,101264.829
6/22/18,1375,204,6,101258.829
6/23/18,1375,204,6,102392.797
6/24/18,1375,204,6,102392.797
6/25/18,1375,204,6,101334.397
6/26/18,1375,204,6,101334.397
6/27/18,1375,204,6,101854.7095
6/28/18,1375,204,6,101655.2279
6/29/18,1375,204,6,99155.18047
6/30/18,1375,204,6,102948.8925
7/1/18,1375,204,6,102948.8925
7/2/18,1375,204,6,101890.4925
7/3/18,1375,204,6,102749.9445
7/4/18,1375,204,6,102749.9445
7/5/18,1375,204,6,102749.9445
7/6/18,1375,204,6,86171.82847
7/7/18,1375,204,6,86171.82847
7/8/18,1375,204,6,91560.57847
7/9/18,1375,204,6,91560.57847
7/10/18,1375,204,6,92953.95829
7/11/18,1375,204,6,91895.55829
7/12/18,1375,204,6,90182.70229
7/13/18,1375,204,6,84536.15629
7/14/18,1375,204,6,83500.01629
7/15/18,1375,204,6,83500.01629
7/16/18,1375,204,6,79709.58481
7/17/18,1375,204,6,79709.58481
7/18/18,1375,204,6,78579.61681
7/19/18,1375,204,6,86420.65829
7/20/18,1375,204,6,86151.85829
7/21/18,1375,204,6,86920.10829
7/22/18,1375,204,6,81205.53129
7/23/18,1375,204,6,84236.03129
7/24/18,1375,204,6,82352.78129
7/25/18,1375,204,6,85693.0342
7/26/18,1375,204,6,85693.0342
7/27/18,1375,204,6,87203.14085
7/28/18,1375,204,6,87203.14085
7/29/18,1375,204,6,87203.14085
7/30/18,1375,204,6,87203.14085
7/31/18,1375,204,6,45328.1455
8/1/18,1375,204,6,65919.80426
8/2/18,1375,204,6,77124.71725
8/3/18,1375,204,6,69933.64824
8/4/18,1375,204,6,72644.84824
8/5/18,1375,204,6,71477.09824
8/6/18,1375,204,6,71477.09824
8/7/18,1375,204,6,76519.20424
8/8/18,1375,204,6,76519.20424
8/9/18,1375,204,6,71626.12833
8/10/18,1375,204,6,72090.62583
8/11/18,1375,204,6,72090.62583
8/12/18,1375,204,6,73180.87233
8/13/18,1375,204,6,73180.87233
8/14/18,1375,204,6,72809.62233
8/15/18,1375,204,6,72809.62233
8/16/18,1375,204,6,72809.62233
8/17/18,1375,204,6,72809.62233
8/18/18,1375,204,6,72809.62233
8/19/18,1375,204,6,72809.62233
8/20/18,1375,204,6,67310.76033
8/21/18,1375,204,6,68339.76033
8/22/18,1375,204,6,68804.22027
8/23/18,1375,204,6,69983.71527
8/24/18,1375,204,6,74529.46527
8/25/18,1375,204,6,74529.46527
8/26/18,1375,204,6,74529.46527
8/27/18,1375,204,6,75184.20327
8/28/18,1375,204,6,75184.20327
8/29/18,1375,204,6,55221.28579
8/30/18,1375,204,6,65992.01927
8/31/18,1375,204,6,68733.61127
